timestamp,hs_m,wind_kn,precip_mmhr,sst_c,cloud_pct
2026-05-01T00:00:00+00:00,1.41,10.8,0.11,25.0,41.3
2026-05-01T01:00:00+00:00,1.46,13.1,0.06,25.13,39.5
2026-05-01T02:00:00+00:00,1.35,12.1,0.1,25.15,57.4
2026-05-01T03:00:00+00:00,1.47,13.7,0.11,25.28,53.8
2026-05-01T04:00:00+00:00,1.4,12.0,0.08,25.42,53.7
2026-05-01T05:00:00+00:00,1.4,13.3,0.06,25.6,58.8
2026-05-01T06:00:00+00:00,1.5,15.5,0.04,25.73,53.1
2026-05-01T07:00:00+00:00,1.37,14.5,0.07,25.8,62.7
2026-05-01T08:00:00+00:00,1.47,16.3,0.13,25.88,68.9
2026-05-01T09:00:00+00:00,1.49,14.7,0.06,25.96,64.5
2026-05-01T10:00:00+00:00,1.6,17.2,0.03,25.9,56.1
2026-05-01T11:00:00+00:00,1.53,14.4,0.12,25.89,61.2
2026-05-01T12:00:00+00:00,1.45,15.0,0.14,25.88,61.7
2026-05-01T13:00:00+00:00,1.57,14.6,0.18,25.8,58.5
2026-05-01T14:00:00+00:00,1.51,15.5,0.2,25.73,55.9
2026-05-01T15:00:00+00:00,1.67,13.9,0.13,25.6,54.7
2026-05-01T16:00:00+00:00,1.55,13.0,0.07,25.41,59.4
2026-05-01T17:00:00+00:00,1.81,15.5,0.15,25.39,54.8
2026-05-01T18:00:00+00:00,1.59,13.7,0.12,25.25,60.6
2026-05-01T19:00:00+00:00,1.64,16.2,0.07,25.12,67.1
2026-05-01T20:00:00+00:00,1.77,13.2,0.16,25.05,61.6
2026-05-01T21:00:00+00:00,1.68,15.5,0.17,24.95,56.8
2026-05-01T22:00:00+00:00,1.73,16.6,0.04,25.05,69.7
2026-05-01T23:00:00+00:00,1.76,16.4,0.07,24.99,67.1
2026-05-02T00:00:00+00:00,1.78,17.1,0.13,25.04,69.6
2026-05-02T01:00:00+00:00,1.71,18.0,0.12,25.16,64.3
2026-05-02T02:00:00+00:00,1.73,17.9,0.11,25.23,66.8
2026-05-02T03:00:00+00:00,1.79,19.4,0.13,25.44,77.2
2026-05-02T04:00:00+00:00,1.67,19.7,0.1,25.53,77.8
2026-05-02T05:00:00+00:00,1.67,18.1,0.13,25.71,74.5
2026-05-02T06:00:00+00:00,1.71,19.5,0.02,25.7,76.2
2026-05-02T07:00:00+00:00,1.68,17.5,0.12,25.93,71.9
2026-05-02T08:00:00+00:00,1.63,19.3,0.06,25.9,76.2
2026-05-02T09:00:00+00:00,1.76,17.5,0.09,26.0,69.4
2026-05-02T10:00:00+00:00,1.79,17.0,0.08,26.01,67.3
2026-05-02T11:00:00+00:00,1.98,18.9,0.1,25.92,73.4
2026-05-02T12:00:00+00:00,1.56,14.8,0.13,25.95,61.5
2026-05-02T13:00:00+00:00,1.79,17.3,0.09,25.92,62.5
2026-05-02T14:00:00+00:00,1.63,15.9,0.11,25.79,50.3
2026-05-02T15:00:00+00:00,1.65,16.6,0.08,25.69,46.8
2026-05-02T16:00:00+00:00,1.75,16.4,0.1,25.55,46.5
2026-05-02T17:00:00+00:00,1.68,14.4,0.05,25.39,39.7
