timestamp,hs_m,wind_kn,precip_mmhr,sst_c,cloud_pct
2026-05-01T00:00:00+00:00,1.67,15.1,0.27,6.77,70.4
2026-05-01T01:00:00+00:00,1.65,17.8,0.31,6.84,75.7
2026-05-01T02:00:00+00:00,1.71,15.0,0.23,6.94,82.0
2026-05-01T03:00:00+00:00,1.8,17.9,0.3,7.03,88.4
2026-05-01T04:00:00+00:00,1.73,17.8,0.28,7.19,86.3
2026-05-01T05:00:00+00:00,1.69,19.4,0.27,7.31,83.6
2026-05-01T06:00:00+00:00,1.74,19.0,0.2,7.45,88.5
2026-05-01T07:00:00+00:00,1.69,20.2,0.22,7.45,81.1
2026-05-01T08:00:00+00:00,1.76,20.7,0.29,7.63,86.4
2026-05-01T09:00:00+00:00,1.79,21.0,0.32,7.69,90.7
2026-05-01T10:00:00+00:00,1.87,20.9,0.36,7.75,87.6
2026-05-01T11:00:00+00:00,1.77,20.1,0.36,7.68,87.7
2026-05-01T12:00:00+00:00,1.93,21.3,0.25,7.69,79.5
2026-05-01T13:00:00+00:00,1.93,20.8,0.31,7.54,82.1
2026-05-01T14:00:00+00:00,1.93,22.3,0.3,7.53,73.2
2026-05-01T15:00:00+00:00,1.87,20.8,0.31,7.43,84.9
2026-05-01T16:00:00+00:00,1.83,20.2,0.22,7.23,85.9
2026-05-01T17:00:00+00:00,1.95,22.8,0.26,7.09,80.6
2026-05-01T18:00:00+00:00,2.04,22.1,0.33,7.01,77.2
2026-05-01T19:00:00+00:00,2.07,20.9,0.31,6.97,79.5
2026-05-01T20:00:00+00:00,2.01,23.8,0.26,6.78,86.5
2026-05-01T21:00:00+00:00,2.09,23.4,0.32,6.73,79.6
2026-05-01T22:00:00+00:00,2.01,22.1,0.21,6.91,88.8
2026-05-01T23:00:00+00:00,2.21,24.8,0.36,6.82,88.4
2026-05-02T00:00:00+00:00,1.97,25.0,0.32,6.94,89.4
2026-05-02T01:00:00+00:00,2.09,24.2,0.23,6.86,88.5
2026-05-02T02:00:00+00:00,2.16,26.5,0.25,6.95,100.0
2026-05-02T03:00:00+00:00,4.19,40.5,3.57,7.19,100.0
2026-05-02T04:00:00+00:00,4.07,44.2,4.61,7.22,100.0
2026-05-02T05:00:00+00:00,4.32,45.1,6.49,7.49,100.0
2026-05-02T06:00:00+00:00,4.01,43.9,7.11,7.57,100.0
2026-05-02T07:00:00+00:00,4.87,45.6,5.5,7.69,100.0
2026-05-02T08:00:00+00:00,5.09,46.6,6.56,7.76,100.0
2026-05-02T09:00:00+00:00,4.5,51.5,7.3,7.79,100.0
2026-05-02T10:00:00+00:00,5.12,45.7,7.98,7.83,100.0
2026-05-02T11:00:00+00:00,4.92,52.0,8.3,7.83,100.0
2026-05-02T12:00:00+00:00,5.28,55.7,7.79,7.81,100.0
2026-05-02T13:00:00+00:00,5.51,58.4,8.51,7.68,100.0
2026-05-02T14:00:00+00:00,6.07,51.5,9.46,7.59,100.0
2026-05-02T15:00:00+00:00,5.74,53.3,9.82,7.48,100.0
2026-05-02T16:00:00+00:00,5.46,50.1,8.09,7.31,100.0
2026-05-02T17:00:00+00:00,5.25,51.9,8.54,7.21,100.0
2026-05-02T18:00:00+00:00,5.28,47.6,8.26,7.04,100.0
2026-05-02T19:00:00+00:00,5.3,48.1,7.77,6.98,100.0
2026-05-02T20:00:00+00:00,4.76,46.1,6.95,6.9,100.0
2026-05-02T21:00:00+00:00,4.86,44.7,6.98,6.92,100.0
2026-05-02T22:00:00+00:00,4.78,45.6,7.28,6.83,100.0
2026-05-02T23:00:00+00:00,4.79,42.3,6.64,6.78,100.0
2026-05-03T00:00:00+00:00,4.29,40.8,6.59,6.9,100.0
2026-05-03T01:00:00+00:00,4.42,40.2,4.88,6.99,100.0
2026-05-03T02:00:00+00:00,4.18,33.4,5.77,7.12,100.0
2026-05-03T03:00:00+00:00,2.28,21.9,0.32,7.18,68.9
2026-05-03T04:00:00+00:00,1.93,19.8,0.35,7.45,68.9
2026-05-03T05:00:00+00:00,2.03,21.6,0.24,7.51,74.8
2026-05-03T06:00:00+00:00,2.11,20.1,0.23,7.65,68.9
2026-05-03T07:00:00+00:00,2.05,19.7,0.32,7.7,65.3
2026-05-03T08:00:00+00:00,2.12,20.6,0.31,7.8,65.0
2026-05-03T09:00:00+00:00,2.06,18.6,0.21,7.86,63.6
2026-05-03T10:00:00+00:00,2.02,19.3,0.27,7.92,65.0
2026-05-03T11:00:00+00:00,1.94,15.2,0.23,7.92,51.5
2026-05-03T12:00:00+00:00,2.06,16.9,0.29,7.78,57.2
2026-05-03T13:00:00+00:00,2.1,11.8,0.32,7.81,54.5
2026-05-03T14:00:00+00:00,1.99,14.7,0.34,7.62,49.3
2026-05-03T15:00:00+00:00,1.93,13.8,0.34,7.56,45.5
2026-05-03T16:00:00+00:00,2.04,12.7,0.16,7.37,49.1
2026-05-03T17:00:00+00:00,2.03,11.1,0.3,7.23,44.7
2026-05-03T18:00:00+00:00,1.94,11.4,0.33,7.19,41.3
2026-05-03T19:00:00+00:00,1.91,11.2,0.27,7.01,41.4
2026-05-03T20:00:00+00:00,1.85,12.2,0.27,6.9,42.6
2026-05-03T21:00:00+00:00,1.97,12.2,0.28,6.9,51.7
2026-05-03T22:00:00+00:00,1.71,12.9,0.35,6.9,45.2
2026-05-03T23:00:00+00:00,1.64,10.6,0.36,6.9,47.1
2026-05-04T00:00:00+00:00,1.78,9.3,0.31,6.95,49.9
2026-05-04T01:00:00+00:00,1.72,10.1,0.24,7.03,49.8
2026-05-04T02:00:00+00:00,1.63,10.7,0.37,7.11,53.7
2026-05-04T03:00:00+00:00,1.58,10.9,0.29,7.31,55.6
2026-05-04T04:00:00+00:00,1.75,10.1,0.29,7.42,58.1
2026-05-04T05:00:00+00:00,1.56,9.1,0.27,7.65,62.2
2026-05-04T06:00:00+00:00,1.69,12.0,0.31,7.62,61.0
2026-05-04T07:00:00+00:00,1.66,8.8,0.3,7.77,57.5
2026-05-04T08:00:00+00:00,1.54,11.6,0.34,7.8,61.9
2026-05-04T09:00:00+00:00,1.64,8.8,0.36,7.87,62.2
2026-05-04T10:00:00+00:00,1.45,8.4,0.23,7.87,55.5
2026-05-04T11:00:00+00:00,1.6,9.0,0.33,7.85,52.5
2026-05-04T12:00:00+00:00,1.48,7.1,0.25,7.93,57.2
2026-05-04T13:00:00+00:00,1.45,7.2,0.28,7.76,65.3
2026-05-04T14:00:00+00:00,1.44,7.2,0.28,7.69,41.1
2026-05-04T15:00:00+00:00,1.39,4.6,0.37,7.54,55.5
2026-05-04T16:00:00+00:00,1.43,5.1,0.26,7.36,47.8
2026-05-04T17:00:00+00:00,1.25,6.5,0.35,7.3,59.4
2026-05-04T18:00:00+00:00,1.16,4.9,0.43,7.1,50.6
2026-05-04T19:00:00+00:00,1.24,5.1,0.22,7.06,57.0
2026-05-04T20:00:00+00:00,1.32,4.2,0.23,6.85,49.9
2026-05-04T21:00:00+00:00,1.31,5.5,0.3,6.99,61.9
2026-05-04T22:00:00+00:00,1.26,7.6,0.2,6.9,58.6
2026-05-04T23:00:00+00:00,1.29,5.4,0.27,6.93,68.6
2026-05-05T00:00:00+00:00,1.15,7.8,0.29,6.94,83.3
2026-05-05T01:00:00+00:00,1.11,6.1,0.24,7.12,74.2
