timestamp,hs_m,wind_kn,precip_mmhr,sst_c,cloud_pct
2026-05-01T00:00:00+00:00,1.23,8.7,0.23,27.92,63.8
2026-05-01T01:00:00+00:00,1.13,8.1,0.19,28.07,59.9
2026-05-01T02:00:00+00:00,1.04,9.0,0.07,28.28,60.3
2026-05-01T03:00:00+00:00,1.06,10.2,0.15,28.33,65.3
2026-05-01T04:00:00+00:00,1.07,10.0,0.13,28.52,62.4
2026-05-01T05:00:00+00:00,1.23,8.9,0.18,28.67,73.2
2026-05-01T06:00:00+00:00,1.2,12.0,0.14,28.88,65.1
2026-05-01T07:00:00+00:00,1.38,11.2,0.22,29.07,75.7
2026-05-01T08:00:00+00:00,1.19,11.8,0.18,28.97,69.7
2026-05-01T09:00:00+00:00,1.49,11.4,0.09,29.12,76.4
2026-05-01T10:00:00+00:00,1.23,10.5,0.11,29.17,72.4
2026-05-01T11:00:00+00:00,1.31,11.0,0.09,29.12,73.3
2026-05-01T12:00:00+00:00,1.09,10.6,0.09,29.06,74.8
2026-05-01T13:00:00+00:00,1.17,12.4,0.2,28.94,73.1
2026-05-01T14:00:00+00:00,1.24,11.6,0.15,28.82,73.4
2026-05-01T15:00:00+00:00,1.33,11.4,0.23,28.76,76.8
2026-05-01T16:00:00+00:00,1.2,8.7,0.07,28.51,68.9
2026-05-01T17:00:00+00:00,1.28,11.1,0.21,28.43,73.5
2026-05-01T18:00:00+00:00,1.33,10.6,0.18,28.27,67.3
2026-05-01T19:00:00+00:00,1.34,11.3,0.17,28.23,66.5
2026-05-01T20:00:00+00:00,1.33,11.5,0.12,28.02,74.5
2026-05-01T21:00:00+00:00,1.35,11.1,0.2,27.98,77.3
2026-05-01T22:00:00+00:00,1.37,9.8,0.12,28.09,73.2
2026-05-01T23:00:00+00:00,1.39,11.6,0.1,27.99,72.7
2026-05-02T00:00:00+00:00,1.42,11.5,0.2,28.02,78.0
2026-05-02T01:00:00+00:00,1.32,11.3,0.25,28.13,81.5
2026-05-02T02:00:00+00:00,1.34,13.9,0.17,28.29,84.2
2026-05-02T03:00:00+00:00,1.25,13.6,0.19,28.5,84.1
2026-05-02T04:00:00+00:00,1.31,12.5,0.19,28.54,90.4
2026-05-02T05:00:00+00:00,1.52,14.6,0.18,28.8,80.3
2026-05-02T06:00:00+00:00,1.28,13.3,0.11,28.99,88.3
2026-05-02T07:00:00+00:00,1.26,11.9,0.23,29.05,88.7
2026-05-02T08:00:00+00:00,1.5,12.8,0.13,29.09,81.9
2026-05-02T09:00:00+00:00,1.39,13.9,0.18,29.15,87.9
2026-05-02T10:00:00+00:00,1.35,13.4,0.15,29.3,84.7
2026-05-02T11:00:00+00:00,1.45,11.4,0.16,29.19,81.6
2026-05-02T12:00:00+00:00,1.54,11.5,0.17,29.16,74.0
2026-05-02T13:00:00+00:00,1.48,12.3,0.08,29.16,64.8
2026-05-02T14:00:00+00:00,1.41,9.3,0.14,28.97,60.9
2026-05-02T15:00:00+00:00,1.26,10.2,0.15,28.8,60.1
2026-05-02T16:00:00+00:00,1.37,9.9,0.11,28.63,65.3
2026-05-02T17:00:00+00:00,1.28,8.9,0.09,28.45,56.0
2026-05-02T18:00:00+00:00,1.29,9.4,0.12,28.33,55.2
2026-05-02T19:00:00+00:00,1.35,7.0,0.12,28.36,64.0
2026-05-02T20:00:00+00:00,1.22,10.3,0.21,28.08,48.9
2026-05-02T21:00:00+00:00,1.31,10.5,0.08,28.08,55.1
2026-05-02T22:00:00+00:00,1.26,9.4,0.17,28.07,55.9
2026-05-02T23:00:00+00:00,1.41,10.5,0.06,28.1,52.8
2026-05-03T00:00:00+00:00,1.42,12.1,0.22,28.12,53.4
2026-05-03T01:00:00+00:00,1.42,11.4,0.21,28.29,49.3
2026-05-03T02:00:00+00:00,1.35,9.8,0.12,28.33,55.6
2026-05-03T03:00:00+00:00,1.3,11.4,0.12,28.52,59.7
2026-05-03T04:00:00+00:00,1.3,11.7,0.15,28.66,50.5
2026-05-03T05:00:00+00:00,1.4,9.2,0.09,28.86,59.7
2026-05-03T06:00:00+00:00,1.35,11.7,0.12,28.95,49.1
2026-05-03T07:00:00+00:00,1.45,11.8,0.2,29.09,46.8
2026-05-03T08:00:00+00:00,1.43,10.0,0.18,29.16,54.6
2026-05-03T09:00:00+00:00,1.35,10.9,0.09,29.35,49.2
2026-05-03T10:00:00+00:00,1.33,10.1,0.12,29.37,48.3
2026-05-03T11:00:00+00:00,1.25,7.6,0.2,29.32,48.3
2026-05-03T12:00:00+00:00,1.38,7.9,0.06,29.22,29.3
2026-05-03T13:00:00+00:00,1.32,7.4,0.12,29.21,33.3
2026-05-03T14:00:00+00:00,1.33,7.3,0.19,29.02,30.1
2026-05-03T15:00:00+00:00,1.12,7.8,0.13,28.83,25.9
2026-05-03T16:00:00+00:00,1.34,5.6,0.16,28.63,20.0
2026-05-03T17:00:00+00:00,1.21,6.6,0.12,28.53,29.1
2026-05-03T18:00:00+00:00,1.3,5.2,0.2,28.37,19.1
2026-05-03T19:00:00+00:00,1.24,5.2,0.2,28.34,17.4
2026-05-03T20:00:00+00:00,1.32,5.3,0.15,28.2,25.1
2026-05-03T21:00:00+00:00,1.05,2.6,0.21,28.05,23.9
2026-05-03T22:00:00+00:00,1.18,0.9,0.21,28.06,27.8
2026-05-03T23:00:00+00:00,1.2,6.9,0.13,28.1,34.1
2026-05-04T00:00:00+00:00,1.08,6.1,0.17,28.19,28.9
2026-05-04T01:00:00+00:00,1.16,7.3,0.16,28.24,35.4
2026-05-04T02:00:00+00:00,1.17,4.8,0.16,28.39,37.1
2026-05-04T03:00:00+00:00,1.09,7.1,0.21,28.5,37.5
2026-05-04T04:00:00+00:00,1.03,5.2,0.16,28.71,43.7
2026-05-04T05:00:00+00:00,1.05,6.6,0.12,28.79,37.2
2026-05-04T06:00:00+00:00,1.06,4.7,0.19,29.03,34.8
2026-05-04T07:00:00+00:00,1.15,6.8,0.18,29.06,41.2
2026-05-04T08:00:00+00:00,0.98,7.1,0.03,29.2,45.6
2026-05-04T09:00:00+00:00,1.08,6.6,0.14,29.28,39.5
2026-05-04T10:00:00+00:00,1.13,4.2,0.13,29.25,36.5
2026-05-04T11:00:00+00:00,0.99,3.3,0.11,29.32,28.1
2026-05-04T12:00:00+00:00,0.97,4.6,0.15,29.26,37.5
2026-05-04T13:00:00+00:00,0.98,4.5,0.15,29.11,39.9
2026-05-04T14:00:00+00:00,1.02,5.0,0.08,28.91,40.9
2026-05-04T15:00:00+00:00,1.03,4.9,0.17,28.94,37.9
2026-05-04T16:00:00+00:00,0.98,4.0,0.16,28.72,38.7
2026-05-04T17:00:00+00:00,0.94,3.7,0.13,28.54,35.8
2026-05-04T18:00:00+00:00,0.95,3.3,0.19,28.29,43.4
2026-05-04T19:00:00+00:00,0.99,1.1,0.16,28.28,39.6
2026-05-04T20:00:00+00:00,0.99,1.7,0.12,28.22,43.1
2026-05-04T21:00:00+00:00,0.89,2.6,0.22,28.07,46.0
2026-05-04T22:00:00+00:00,0.89,4.1,0.15,28.06,47.9
2026-05-04T23:00:00+00:00,0.92,2.4,0.12,28.13,54.4
2026-05-05T00:00:00+00:00,1.0,5.4,0.22,28.21,56.4
2026-05-05T01:00:00+00:00,0.79,6.4,0.14,28.21,63.8
2026-05-05T02:00:00+00:00,0.87,6.8,0.09,28.42,66.0
2026-05-05T03:00:00+00:00,0.93,3.8,0.16,28.56,61.4
2026-05-05T04:00:00+00:00,0.84,7.0,0.2,28.63,75.8
2026-05-05T05:00:00+00:00,0.95,6.7,0.09,28.88,65.2
2026-05-05T06:00:00+00:00,0.99,6.7,0.19,29.03,70.7
