date,work_order_id,platform,vehicle_id,environment,optempo,magtf_size,nsn,part_name,qty_consumed,subsystem
2026-01-26,WO-260126-00001,MTVR,MTVR-0181,maritime,high,MEB,2510-01-489-2578,brake rotor (MTVR),4,brakes
2026-01-26,WO-260126-00002,MTVR,MTVR-0084,maritime,high,MEB,2510-01-666-7721,high-pressure hose (MTVR),9,hydraulics
2026-01-26,WO-260126-00003,MTVR,MTVR-0068,maritime,high,MEB,2540-01-382-3157,tire pressure sensor (MTVR),4,tires
2026-01-26,WO-260126-00004,MTVR,MTVR-0192,maritime,high,MEB,2510-01-836-5557,high-pressure hose (MTVR),2,hydraulics
2026-01-26,WO-260126-00005,MTVR,MTVR-0186,maritime,high,MEB,5340-01-121-9390,reservoir cap (MTVR),4,hydraulics
2026-01-26,WO-260126-00006,MTVR,MTVR-0270,maritime,high,MEB,4720-01-395-4466,brake caliper (MTVR),13,brakes
2026-01-26,WO-260126-00007,MTVR,MTVR-0068,maritime,high,MEB,1240-01-821-3032,starter motor (MTVR),1,engine
2026-01-26,WO-260126-00008,MTVR,MTVR-0151,maritime,high,MEB,2805-01-304-5515,ABS sensor (MTVR),6,brakes
2026-01-26,WO-260126-00009,MTVR,MTVR-0179,maritime,high,MEB,1240-01-447-5454,master cylinder (MTVR),9,brakes
2026-01-26,WO-260126-00010,MTVR,MTVR-0072,maritime,high,MEB,2920-01-394-5354,wiring harness (MTVR),10,electrical
2026-01-26,WO-260126-00011,MTVR,MTVR-0245,maritime,high,MEB,2510-01-509-1086,brake pad set (MTVR),5,brakes
2026-01-26,WO-260126-00012,MTVR,MTVR-0126,maritime,high,MEB,2520-01-813-3214,transfer case seal (MTVR),9,transmission
2026-01-26,WO-260126-00013,MTVR,MTVR-0069,maritime,high,MEB,2520-01-939-8471,brake pad set (MTVR),9,brakes
2026-01-26,WO-260126-00014,MTVR,MTVR-0061,maritime,high,MEB,1015-01-131-5267,transmission filter (MTVR),2,transmission
