event_id,timestamp,hour,lat,lon,signal_type,mac,oui,vendor,rssi,channel,pattern
RF-000120,2026-04-26T21:13:19+00:00,21,33.210593,-117.397317,BT,14:7D:DA:94:0F:32,14:7D:DA,Google,-62,39,device_dwell_gate
RF-003502,2026-04-26T10:25:11+00:00,10,33.215215,-117.393867,WiFi,94:F6:65:AB:7E:8C,94:F6:65,Ruckus,-55,36,fixed_infra_offices
RF-000328,2026-04-26T15:49:14+00:00,15,33.21083,-117.397229,WiFi,F0:18:98:9C:81:C7,F0:18:98,Apple,-70,40,device_dwell_gate
RF-002696,2026-04-26T20:05:51+00:00,20,33.206922,-117.398484,WiFi,F8:A4:5F:98:52:89,F8:A4:5F,Xiaomi,-76,40,mobile_transit_road
RF-004676,2026-04-26T04:42:43+00:00,4,33.212607,-117.388976,WiFi,00:1E:10:B0:DD:DE,00:1E:10,Huawei,-91,48,ephemeral_perimeter
RF-002502,2026-04-26T16:14:43+00:00,16,33.214348,-117.395423,BT,F8:A4:5F:62:8B:EC,F8:A4:5F,Xiaomi,-83,39,mobile_transit_road
RF-003329,2026-04-26T15:42:20+00:00,15,33.215071,-117.393732,WiFi,94:B4:0F:A2:C8:77,94:B4:0F,Aruba,-63,36,fixed_infra_offices
RF-000554,2026-04-26T02:58:32+00:00,2,33.210776,-117.397234,WiFi,D0:17:6A:DE:CE:D3,D0:17:6A,Samsung,-73,6,device_dwell_gate
RF-003346,2026-04-26T12:35:15+00:00,12,33.215389,-117.394208,WiFi,B4:FB:E4:D1:09:F1,B4:FB:E4,Ubiquiti,-63,6,fixed_infra_offices
RF-002103,2026-04-26T10:25:17+00:00,10,33.213525,-117.39509,WiFi,00:1E:10:0E:1D:6E,00:1E:10,Huawei,-80,40,mobile_transit_road
RF-004645,2026-04-26T04:57:53+00:00,4,33.212933,-117.390389,BT,02:00:00:58:B2:F0,02:00:00,Unknown,-89,39,ephemeral_perimeter
RF-001727,2026-04-26T09:29:09+00:00,9,33.218345,-117.390649,BT,A0:9E:1A:9C:6E:F4,A0:9E:1A,Polar,-51,37,gathering_chow_hall
RF-004375,2026-04-26T04:19:59+00:00,4,33.212728,-117.396244,BT,F0:35:75:C7:FD:44,F0:35:75,Estimote,-72,37,device_dwell_vehiclepark
RF-002561,2026-04-26T16:19:11+00:00,16,33.209471,-117.396969,WiFi,00:1E:10:46:E9:85,00:1E:10,Huawei,-85,36,mobile_transit_road
RF-001884,2026-04-26T20:49:42+00:00,20,33.218103,-117.390693,BT,94:65:2D:A5:09:BA,94:65:2D,OnePlus,-74,39,gathering_chow_hall
RF-004902,2026-04-26T20:11:50+00:00,20,33.21004,-117.403176,WiFi,AC:67:B2:06:A8:9D,AC:67:B2,Espressif,-83,149,ephemeral_perimeter_w
RF-001691,2026-04-26T14:11:08+00:00,14,33.218616,-117.39016,WiFi,94:65:2D:18:07:EA,94:65:2D,OnePlus,-70,36,gathering_chow_hall
RF-003371,2026-04-26T23:45:45+00:00,23,33.215337,-117.394304,WiFi,00:0C:14:98:03:1B,00:0C:14,Cisco,-67,11,fixed_infra_offices
RF-002470,2026-04-26T08:28:10+00:00,8,33.214256,-117.394614,BT,00:1E:10:2D:91:91,00:1E:10,Huawei,-78,38,mobile_transit_road
RF-000497,2026-04-26T00:02:52+00:00,0,33.210583,-117.397197,WiFi,F0:35:75:CF:01:41,F0:35:75,Estimote,-76,44,device_dwell_gate
RF-002807,2026-04-26T17:11:59+00:00,17,33.211785,-117.395684,WiFi,00:1E:10:5C:EC:79,00:1E:10,Huawei,-75,40,mobile_transit_road
RF-003395,2026-04-26T14:01:37+00:00,14,33.215361,-117.393913,WiFi,E0:CB:BC:A9:2E:90,E0:CB:BC,Cisco-Meraki,-69,1,fixed_infra_offices
RF-003687,2026-04-26T14:48:59+00:00,14,33.207822,-117.40138,BT,60:A4:23:92:66:4A,60:A4:23,Bosch,-73,39,fixed_infra_motorpool
RF-001144,2026-04-26T10:08:47+00:00,10,33.218565,-117.390544,BT,C0:91:34:E3:AA:D3,C0:91:34,Fitbit,-79,37,gathering_chow_hall
RF-001070,2026-04-26T17:30:32+00:00,17,33.218424,-117.390487,BT,00:12:FB:A9:7F:2D,00:12:FB,Samsung,-75,39,gathering_chow_hall
RF-002048,2026-04-26T17:56:09+00:00,17,33.206291,-117.39956,BT,78:25:AD:17:9B:35,78:25:AD,Samsung,-79,37,mobile_transit_road
RF-004581,2026-04-26T01:05:12+00:00,1,33.212743,-117.390592,WiFi,00:1E:10:88:E4:3D,00:1E:10,Huawei,-90,40,ephemeral_perimeter
