item_id,nsn,nomenclature,category,qty_on_hand,qty_required,shortage,unit_of_issue,condition_code,serial_number,sensitivity_class,location_id,responsible_marine,last_inventoried_date,last_inventoried_iso,last_lateral_transfer_date,days_since_inventory,days_since_lateral_transfer,inventory_overdue,nmc_impacting
ITM-000001,6515-26-725-8437,"CAT Tourniquet, Gen-7",Class VIII — Medical,34,32,0,EA,B,,SENSITIVE,MED-CAGE,"Cpl Diallo, S.",2026-04-13,2026-04-13T01:00:00+00:00,2026-01-19,14,98,False,False
ITM-000002,8470-12-125-9014,"Humanitarian Tarps, Pallet",Class X — Non-Mil Programs,75,73,0,KT,B,,ROUTINE,WHSE-B2,"GySgt Yelovich, M.",2026-03-24,2026-03-24T22:00:00+00:00,,33,9999,False,False
ITM-000003,6515-78-968-2352,"CAT Tourniquet, Gen-7",Class VIII — Medical,36,36,0,EA,F,,SENSITIVE,MED-CAGE,"Sgt Olufsen, K.",2026-01-26,2026-01-26T17:00:00+00:00,2026-02-26,90,59,True,False
ITM-000004,8910-73-668-3953,"Bottled Water, Pallet",Class I — Subsistence,37,38,1,CS,C,,SENSITIVE,WHSE-A2,"Cpl Marin, L.",2026-04-09,2026-04-09T05:00:00+00:00,2026-04-21,18,5,False,False
ITM-000005,2530-72-414-2922,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,2,4,2,EA,A,,ROUTINE,ARM-102,"SSgt Whitfield, T.",2026-03-25,2026-03-25T12:00:00+00:00,2026-03-21,33,37,False,False
ITM-000006,5610-94-409-7481,"Lumber 2x4x8, Bundle",Class IV — Construction,66,66,0,BD,A,,ROUTINE,ARM-103,"MSgt Quinones, V.",2026-03-23,2026-03-23T01:00:00+00:00,2026-01-22,35,95,False,False
ITM-000007,8910-81-920-0257,"Coffee, Instant, Case",Class I — Subsistence,38,38,0,CS,F,,ROUTINE,WHSE-A1,"Cpl Kowalski, P.",2026-03-19,2026-03-19T23:00:00+00:00,2026-04-13,38,14,False,False
ITM-000008,8465-01-627-4919,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,114,114,0,EA,A,,ARMS,WHSE-B1,"Sgt Pham, D.",2026-04-03,2026-04-03T16:00:00+00:00,2026-03-06,23,51,True,False
ITM-000009,5945-80-810-2968,"MTVR Air Filter, Element",Class IX — Repair Parts,7,7,0,EA,B,,ROUTINE,WHSE-A2,"SSgt Whitfield, T.",2026-03-12,2026-03-12T18:00:00+00:00,,45,9999,False,False
ITM-000010,8430-11-139-2901,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,119,120,1,EA,A,,SENSITIVE,WHSE-B2,"Cpl Iwamoto, K.",2026-03-28,2026-03-28T14:00:00+00:00,2026-04-14,29,12,False,False
