from,to,mode,weight_class,bridge_clearance_in,distance_km,transit_hr,capacity_pallets_per_day
MCLB-ALB,ATL-RAIL,rail,286k,240,246.0,4.47,800
ATL-RAIL,MCLB-ALB,rail,286k,240,246.0,4.47,800
MCLB-ALB,SAVN-PORT,rail,286k,220,286.2,5.2,800
SAVN-PORT,MCLB-ALB,rail,286k,220,286.2,5.2,800
MCLB-ALB,JAX-PORT,road,HS-20,192,274.3,3.43,220
JAX-PORT,MCLB-ALB,road,HS-20,192,274.3,3.43,220
ATL-RAIL,BMT-RAIL,rail,286k,220,1003.3,18.24,800
BMT-RAIL,ATL-RAIL,rail,286k,220,1003.3,18.24,800
ATL-RAIL,MEMP-RAIL,rail,286k,240,534.1,9.71,800
MEMP-RAIL,ATL-RAIL,rail,286k,240,534.1,9.71,800
MEMP-RAIL,KC-RAIL,rail,286k,240,602.3,10.95,800
KC-RAIL,MEMP-RAIL,rail,286k,240,602.3,10.95,800
MEMP-RAIL,CHIC-RAIL,rail,286k,240,778.9,14.16,800
CHIC-RAIL,MEMP-RAIL,rail,286k,240,778.9,14.16,800
KC-RAIL,BMT-RAIL,rail,286k,240,1003.2,18.24,800
BMT-RAIL,KC-RAIL,rail,286k,240,1003.2,18.24,800
KC-RAIL,FT-HOOD,rail,286k,220,932.0,16.95,800
FT-HOOD,KC-RAIL,rail,286k,220,932.0,16.95,800
BMT-RAIL,BMT-PORT,rail,286k,220,1.0,0.02,800
BMT-PORT,BMT-RAIL,rail,286k,220,1.0,0.02,800
BMT-RAIL,HOUS-PORT,rail,286k,220,96.6,1.76,800
HOUS-PORT,BMT-RAIL,rail,286k,220,96.6,1.76,800
FT-HOOD,BMT-RAIL,rail,286k,220,370.0,6.73,800
BMT-RAIL,FT-HOOD,rail,286k,220,370.0,6.73,800
FT-BLISS,BMT-RAIL,rail,286k,220,1188.9,21.62,800
BMT-RAIL,FT-BLISS,rail,286k,220,1188.9,21.62,800
CHRL-RAIL,PORT-CHS,rail,286k,200,0.6,0.01,800
PORT-CHS,CHRL-RAIL,rail,286k,200,0.6,0.01,800
CAMP-LEJ,CHRL-RAIL,rail,286k,220,318.4,5.79,800
CHRL-RAIL,CAMP-LEJ,rail,286k,220,318.4,5.79,800
MCAS-CHP,NORF-NB,road,HS-20,192,232.7,2.91,220
NORF-NB,MCAS-CHP,road,HS-20,192,232.7,2.91,220
FT-BRG,CHRL-RAIL,rail,286k,220,276.4,5.02,800
CHRL-RAIL,FT-BRG,rail,286k,220,276.4,5.02,800
BLT-RAIL,DOVR-AFB,rail,286k,220,100.3,1.82,800
DOVR-AFB,BLT-RAIL,rail,286k,220,100.3,1.82,800
DOVR-AFB,NORF-NB,road,HS-20,192,254.4,3.18,220
NORF-NB,DOVR-AFB,road,HS-20,192,254.4,3.18,220
CHIC-RAIL,PORT-OAK,rail,286k,240,2972.6,54.05,800
PORT-OAK,CHIC-RAIL,rail,286k,240,2972.6,54.05,800
CHIC-RAIL,PORT-TAC,rail,286k,240,2795.6,50.83,800
PORT-TAC,CHIC-RAIL,rail,286k,240,2795.6,50.83,800
KC-RAIL,PORT-LA,rail,286k,240,2194.6,39.9,800
PORT-LA,KC-RAIL,rail,286k,240,2194.6,39.9,800
MCLB-BAR,PORT-LA,rail,286k,220,185.9,3.38,800
PORT-LA,MCLB-BAR,rail,286k,220,185.9,3.38,800
TWENTYNIN,MCLB-BAR,road,HS-20,200,93.1,1.16,220
MCLB-BAR,TWENTYNIN,road,HS-20,200,93.1,1.16,220
CAMP-PEN,PORT-LA,road,HS-20,200,75.7,0.95,220
PORT-LA,CAMP-PEN,road,HS-20,200,75.7,0.95,220
CAMP-PEN,MCLB-BAR,rail,286k,220,178.9,3.25,800
MCLB-BAR,CAMP-PEN,rail,286k,220,178.9,3.25,800
PORT-OAK,TRAV-AFB,road,HS-20,200,61.3,0.77,220
TRAV-AFB,PORT-OAK,road,HS-20,200,61.3,0.77,220
JBLM,PORT-TAC,rail,286k,220,22.7,0.41,800
PORT-TAC,JBLM,rail,286k,220,22.7,0.41,800
ATL-RAIL,ATLANTA-A,road,HS-20,200,12.7,0.16,220
ATLANTA-A,ATL-RAIL,road,HS-20,200,12.7,0.16,220
BMT-PORT,HOUS-PORT,water,N/A,0,96.8,4.4,1600
HOUS-PORT,BMT-PORT,water,N/A,0,96.8,4.4,1600
BMT-PORT,CRPS-PORT,water,N/A,0,407.6,18.53,1600
CRPS-PORT,BMT-PORT,water,N/A,0,407.6,18.53,1600
PORT-LA,PORT-OAK,water,N/A,0,578.5,26.29,1600
PORT-OAK,PORT-LA,water,N/A,0,578.5,26.29,1600
PORT-OAK,PORT-TAC,water,N/A,0,1053.9,47.9,1600
PORT-TAC,PORT-OAK,water,N/A,0,1053.9,47.9,1600
