lot_id,depot_id,class,item,qty_pallets,exp_in_days,lot_status
GCSS-00001,MCLB-ALB,Class I,MRE pallet,326,112,QUARANTINE
GCSS-00002,MCLB-ALB,Class I,MRE pallet,169,386,AVAIL
GCSS-00003,MCLB-ALB,Class I,MRE pallet,248,418,QUARANTINE
GCSS-00004,MCLB-ALB,Class I,MRE pallet,516,620,QUARANTINE
GCSS-00005,MCLB-ALB,Class I,MRE pallet,106,494,AVAIL
GCSS-00006,MCLB-ALB,Class I,MRE pallet,596,569,QUARANTINE
GCSS-00007,MCLB-ALB,Class I,MRE pallet,232,107,AVAIL
GCSS-00008,MCLB-ALB,Class I,MRE pallet,421,330,AVAIL
GCSS-00009,MCLB-ALB,Class III,JP-8 fuel drum,311,511,AVAIL
GCSS-00010,MCLB-ALB,Class III,JP-8 fuel drum,479,689,QUARANTINE
GCSS-00011,MCLB-ALB,Class III,JP-8 fuel drum,365,385,QUARANTINE
GCSS-00012,MCLB-ALB,Class III,JP-8 fuel drum,360,605,AVAIL
GCSS-00013,MCLB-ALB,Class V,5.56mm rounds (lot),438,433,AVAIL
GCSS-00014,MCLB-ALB,Class V,5.56mm rounds (lot),228,342,AVAIL
GCSS-00015,MCLB-ALB,Class V,5.56mm rounds (lot),357,643,AVAIL
GCSS-00016,MCLB-ALB,Class V,5.56mm rounds (lot),164,572,AVAIL
GCSS-00017,MCLB-ALB,Class V,5.56mm rounds (lot),472,356,AVAIL
GCSS-00018,MCLB-ALB,Class V,5.56mm rounds (lot),272,80,QUARANTINE
GCSS-00019,MCLB-ALB,Class V,5.56mm rounds (lot),68,319,QUARANTINE
GCSS-00020,MCLB-ALB,Class V,5.56mm rounds (lot),321,398,AVAIL
GCSS-00021,MCLB-ALB,Class VIII,Med kit (lot),397,712,QUARANTINE
GCSS-00022,MCLB-ALB,Class VIII,Med kit (lot),99,491,AVAIL
GCSS-00023,MCLB-ALB,Class VIII,Med kit (lot),271,266,AVAIL
GCSS-00024,MCLB-ALB,Class VIII,Med kit (lot),576,602,QUARANTINE
GCSS-00025,MCLB-ALB,Class VIII,Med kit (lot),155,407,AVAIL
GCSS-00026,MCLB-ALB,Class VIII,Med kit (lot),573,149,AVAIL
GCSS-00027,MCLB-ALB,Class VIII,Med kit (lot),90,475,AVAIL
GCSS-00028,MCLB-ALB,Class VIII,Med kit (lot),577,585,QUARANTINE
GCSS-00029,MCLB-ALB,Class VIII,Med kit (lot),295,616,AVAIL
