item_id,nsn,nomenclature,fsc,qty_on_hand,qty_required,shortage,condition_code,location_id,responsible_marine,last_inventoried_date,days_since_inventory,unit_price_usd
ITM-1000000,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",3110,76,38,0,C,WHSE-A1-BAR,"SSgt Reyes, J.",2026-03-13,45,387
ITM-1000001,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",3110,72,36,0,B,WHSE-B2-BAR,"SSgt Reyes, J.",2026-03-30,28,512
ITM-1000002,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",3110,12,8,0,H,WHSE-B1-ALB,"GySgt Underwood, R.",2026-04-05,22,622
ITM-1000003,3110-01-413-2691,"Bearing, Final Drive Pinion (AAV-7A1)",3110,16,8,0,A,BIC-CAGE-A,"GySgt Underwood, R.",2026-03-28,30,745
ITM-1000004,3110-01-617-8013,"Bearing, Prop Rotor Hub (MV-22)",3110,9,11,2,C,WHSE-A1-BAR,"Cpl Iwamoto, K.",2026-04-11,16,4280
ITM-1000005,2530-01-621-3107,Brake rotor (MTVR),2530,78,39,0,A,BIC-CAGE-A,"SSgt Whitfield, T.",2026-04-20,7,215
ITM-1000006,2530-01-487-5511,Hydraulic brake caliper (JLTV),2530,67,70,3,A,BIC-WHSE-1,"Sgt Alvarado, M.",2026-03-31,27,320
ITM-1000007,2530-01-356-7711,Power steering pump (MTVR),2530,39,52,13,A,BIC-WHSE-2,"Cpl Iwamoto, K.",2026-04-13,14,1180
ITM-1000008,2520-01-365-7104,Drive shaft U-joint (MTVR),2520,82,55,0,A,WHSE-A2-ALB,"Cpl Henderson, B.",2026-04-10,17,175
ITM-1000009,2520-01-528-3166,Torque converter (JLTV),2520,7,7,0,C,VBAY-01-BAR,"Cpl Iwamoto, K.",2026-02-13,73,2900
ITM-1000010,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",2520,13,6,0,A,WHSE-A1-ALB,"Cpl Diallo, S.",2026-03-17,41,3450
ITM-1000011,2920-01-446-5219,Alternator 200A 28V (MTVR),2920,42,37,0,B,WHSE-B1-ALB,"MSgt Quinones, V.",2026-04-15,12,410
ITM-1000012,2920-01-396-9234,Starter motor 24V (HMMWV/MTVR),2920,68,38,0,A,VBAY-01-BAR,"Sgt Carrillo, R.",2026-04-13,14,605
ITM-1000013,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2940,84,42,0,C,WHSE-C1-ALB,"Cpl Iwamoto, K.",2026-03-31,27,24
