date,work_order_id,platform,vehicle_id,pmcs_code,nsn,part_name,qty_consumed,subsystem
2026-01-27,WO-260127-00001,MTVR,MTVR-0181,D,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",1,wheels
2026-01-27,WO-260127-00002,MTVR,MTVR-0239,A,2530-01-356-7711,Power steering pump (MTVR),1,steering
2026-01-27,WO-260127-00003,MTVR,MTVR-0068,W,2520-01-365-7104,Drive shaft U-joint (MTVR),1,transmission
2026-01-27,WO-260127-00004,MTVR,MTVR-0131,M,2940-01-389-2196,Primary fuel/oil filter element (MTVR),5,engine
2026-01-27,WO-260127-00005,MTVR,MTVR-0186,Q,2930-01-477-0631,Fuel filter / water separator (MTVR),3,engine
2026-01-27,WO-260127-00006,MTVR,MTVR-0270,S,4720-01-329-4512,Coolant hose (MTVR engine),4,engine
2026-01-27,WO-260127-00007,MTVR,MTVR-0068,AN,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",11,fasteners
2026-01-27,WO-260127-00008,MTVR,MTVR-0151,B,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),2,electrical
2026-01-27,WO-260127-00009,LAV,LAV-0018,D,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",1,wheels
2026-01-27,WO-260127-00010,LAV,LAV-0062,A,5965-01-411-7783,Intercom headset H-250/U,1,comms
2026-01-27,WO-260127-00011,JLTV,JLTV-0061,W,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",1,wheels
2026-01-27,WO-260127-00012,JLTV,JLTV-0296,M,2520-01-528-3166,Torque converter (JLTV),1,transmission
2026-01-27,WO-260127-00013,JLTV,JLTV-0010,Q,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),13,fasteners
2026-01-27,WO-260127-00014,JLTV,JLTV-0090,S,6135-01-301-8776,BA-5590 lithium primary battery (radio),8,comms
2026-01-27,WO-260127-00015,AAV-7A1,AAV-7A1-0032,AN,1730-01-498-7102,"Hydraulic actuator, ramp assy (AAV)",1,hydraulics
2026-01-27,WO-260127-00016,M88A2,M88A2-0004,B,4720-01-471-9951,High-pressure hydraulic hose 1/2 in. (M88A2),1,hydraulics
2026-01-27,WO-260127-00017,HMMWV,HMMWV-0307,D,2940-01-413-1984,Engine air filter element (HMMWV),2,engine
2026-01-28,WO-260128-00018,MTVR,MTVR-0192,A,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",1,wheels
2026-01-28,WO-260128-00019,MTVR,MTVR-0103,W,2530-01-621-3107,Brake rotor (MTVR),1,brakes
2026-01-28,WO-260128-00020,MTVR,MTVR-0072,M,2530-01-356-7711,Power steering pump (MTVR),1,steering
2026-01-28,WO-260128-00021,MTVR,MTVR-0062,Q,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",1,transmission
2026-01-28,WO-260128-00022,MTVR,MTVR-0040,S,2920-01-446-5219,Alternator 200A 28V (MTVR),1,electrical
2026-01-28,WO-260128-00023,MTVR,MTVR-0242,AN,2940-01-389-2196,Primary fuel/oil filter element (MTVR),4,engine
2026-01-28,WO-260128-00024,MTVR,MTVR-0111,B,2930-01-477-0631,Fuel filter / water separator (MTVR),3,engine
2026-01-28,WO-260128-00025,MTVR,MTVR-0279,D,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",8,fasteners
2026-01-28,WO-260128-00026,MTVR,MTVR-0310,A,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),1,electrical
2026-01-28,WO-260128-00027,MTVR,MTVR-0179,W,2610-01-561-7748,Radial tire 395/85R20 (MTVR),3,tires
